5M11A37373;n/a;Keyb T14s G2 Cover ESLA - WL - BL;14;41;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;ESLA;n/a;5M11A37373;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37373;0;n/a;n/a; 
5M11A37381;n/a;Keyb T14s G2 Cover NO - WL - BL;1;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;NO;n/a;5M11A37381;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37381;0;n/a;n/a; 
5M11A37445;n/a;Keyb T14s G2 Cover CH - WL - BL;1;61;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CH;n/a;5M11A37445;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37445;0;n/a;n/a; 
5M11A37475;n/a;Keyb T14s G2 Cover GB - WL - BL;9;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;GB;n/a;5M11A37475;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37475;0;n/a;n/a; 
5M11A37511;n/a;Keyb T14s G2 Cover BE - WW - BL;1;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;BE;n/a;5M11A37511;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37511;0;n/a;n/a; 
5M11A37568;n/a;Keyb T14s G2 Cover US/I - WW - BL;3;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;5M11A37568;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37568;0;n/a;n/a; 
5M11A37578;n/a;Keyb T14s G2 Cover FR - WW - BL;10;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11A37578;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37578;0;n/a;n/a; 
5M11A37583;n/a;Keyb T14s G2 Cover FR - WW - BL;11;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11A37583;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37583;0;n/a;n/a; 
5M11A37593;n/a;Keyb T14s G2 Cover DE - WW - BL;10;81;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M11A37593;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37593;0;n/a;n/a; 
5M11A37593-RP-CZ;n/a;Keyb T14s G2 Cover CZ - WW - BL;1;101;NEW;LENOVO;KEYBOARD;1YR CCR;1 Year Carry-in Warranty;n/a;CZ;n/a;5M11A37593;5704174657774;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37593-RP-CZ;0;n/a;n/a; 
5M11A37597;n/a;Keyb T14s G2 Cover DE - WW - BL;6;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DE;n/a;5M11A37597;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37597;0;n/a;n/a; 
